id,title,start_date,end_date,statistics
33911,Gakuen Handsome: Legend of Sexy,2016-02-04,2016-02-04,"{'status': {'watching': '46', 'completed': '1069', 'on_hold': '26', 'dropped': '77', 'plan_to_watch': '418'}, 'num_list_users': 1636}"
33912,Gakuen Handsome: Haitoku no Lesson,2016-05-10,2016-05-10,"{'status': {'watching': '36', 'completed': '816', 'on_hold': '25', 'dropped': '76', 'plan_to_watch': '372'}, 'num_list_users': 1325}"
33913,Peeban,2010-04-22,2010-04-22,"{'status': {'watching': '18', 'completed': '68', 'on_hold': '4', 'dropped': '59', 'plan_to_watch': '74'}, 'num_list_users': 223}"
33914,Nineko Gelée,2016-10-25,2016-10-25,"{'status': {'watching': '61', 'completed': '492', 'on_hold': '15', 'dropped': '54', 'plan_to_watch': '193'}, 'num_list_users': 815}"
33915,Kitty-chan wo Sagase! Toyama-shi Stamp Rally,2016-07-20,2016-07-20,"{'status': {'watching': '35', 'completed': '280', 'on_hold': '13', 'dropped': '82', 'plan_to_watch': '175'}, 'num_list_users': 585}"
33916,Wanwanwan Coin,2015-11-30,2016-06-20,"{'status': {'watching': '14', 'completed': '83', 'on_hold': 0, 'dropped': '61', 'plan_to_watch': '72'}, 'num_list_users': 230}"
33922,"Taka no Tsumedan, Toyama",2016-04-06,,"{'status': {'watching': '112', 'completed': 0, 'on_hold': '36', 'dropped': '124', 'plan_to_watch': '168'}, 'num_list_users': 440}"
33925,Hua Jianghu: Bu Liang Ren II,2016-07-21,2017-04-20,"{'status': {'watching': '169', 'completed': '368', 'on_hold': '49', 'dropped': '105', 'plan_to_watch': '438'}, 'num_list_users': 1129}"
33926,Quanzhi Gaoshou,2017-04-07,2017-06-16,"{'status': {'watching': '28034', 'completed': '224833', 'on_hold': '9429', 'dropped': '12981', 'plan_to_watch': '93527'}, 'num_list_users': 368804}"
33927,Yans! Gans! Meat or Die Episode 0,2008-11-29,2008-11-29,"{'status': {'watching': '15', 'completed': '192', 'on_hold': '2', 'dropped': '50', 'plan_to_watch': '74'}, 'num_list_users': 333}"
33929,Boku no Hero Academia: Sukue! Kyuujo Kunren!,2017-04-04,2017-04-04,"{'status': {'watching': '3175', 'completed': '142474', 'on_hold': '1169', 'dropped': '763', 'plan_to_watch': '33464'}, 'num_list_users': 181045}"
33933,Yasamura Yasashi no Yasashii Sekai,2016-09-02,2018-09-30,"{'status': {'watching': '108', 'completed': '120', 'on_hold': '28', 'dropped': '223', 'plan_to_watch': '701'}, 'num_list_users': 1180}"
33934,Trigger-chan,2016-08-22,2016-08-22,"{'status': {'watching': '240', 'completed': '8360', 'on_hold': '90', 'dropped': '95', 'plan_to_watch': '3579'}, 'num_list_users': 12364}"
33936,JA Kumamoto Keizairen,2016-05-16,2019-10-31,"{'status': {'watching': '29', 'completed': '316', 'on_hold': '4', 'dropped': '43', 'plan_to_watch': '99'}, 'num_list_users': 491}"
33937,"Kirai, Demo, Suki",2016-04-05,2016-04-05,"{'status': {'watching': '25', 'completed': '461', 'on_hold': '8', 'dropped': '38', 'plan_to_watch': '141'}, 'num_list_users': 673}"
33938,Koiwai Junsui Kajuu: Bokura Junsui-hen,2012,2012,"{'status': {'watching': '14', 'completed': '167', 'on_hold': 0, 'dropped': '26', 'plan_to_watch': '38'}, 'num_list_users': 245}"
